system_id,method,outer_iteration,func_count,optimize_time,current_max,magsigma2,ls_H-H,ls_H-C,ls_H-O,ls_C-C,ls_C-O,dist_from_known,threshold,stopped_early
d_136,OTGPD,9,10,34.7693,1.76482,1.97447,0.278427,0.689153,0.490273,0.990622,0.506227,0.0233272,0.203639,False
d_136,OTGPD,9,10,34.7693,1.76482,1.97447,0.278427,0.689153,0.490273,0.990622,0.506227,0.0320879,0.203639,False
d_136,OTGPD,9,10,34.7693,1.76482,1.97447,0.278427,0.689153,0.490273,0.990622,0.506227,0.0386235,0.203639,False
d_136,OTGPD,9,10,34.7693,1.76482,1.97447,0.278427,0.689153,0.490273,0.990622,0.506227,0.0521846,0.203639,False
d_136,OTGPD,9,10,34.7693,1.76482,1.97447,0.278427,0.689153,0.490273,0.990622,0.506227,0.052782,0.203639,False
d_136,OTGPD,9,10,34.7693,1.76482,1.97447,0.278427,0.689153,0.490273,0.990622,0.506227,0.0587118,0.203639,False
d_136,OTGPD,10,4,11.5791,0.51838,1.96151,0.27918,0.692454,0.490117,0.996373,0.507574,0.0152325,0.207719,False
d_136,OTGPD,10,4,11.5791,0.51838,1.96151,0.27918,0.692454,0.490117,0.996373,0.507574,0.0214522,0.207719,False
d_136,OTGPD,10,4,11.5791,0.51838,1.96151,0.27918,0.692454,0.490117,0.996373,0.507574,0.0291044,0.207719,False
d_136,OTGPD,10,4,11.5791,0.51838,1.96151,0.27918,0.692454,0.490117,0.996373,0.507574,0.0300371,0.207719,False
d_136,OTGPD,10,4,11.5791,0.51838,1.96151,0.27918,0.692454,0.490117,0.996373,0.507574,0.0286841,0.207719,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.00473972,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.00628728,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.00800399,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.00865555,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.00972088,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.0126205,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.01658,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.0174688,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.0183779,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.0204686,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.0248482,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.0342986,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.0342698,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.0342808,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.0343732,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.0347611,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.0350749,0.211743,False
d_136,OTGPD,11,6,19.2755,0.50185,1.97038,0.280297,0.689246,0.47976,1.00737,0.518424,0.0352232,0.211743,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.00291908,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.00418581,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.00724244,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.00916466,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.00914075,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0109748,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0146806,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0188228,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0219302,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.026324,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0302227,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0367789,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0468874,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0468361,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0467637,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0466943,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0467368,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0473152,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0470958,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0471823,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0477199,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0484202,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0515869,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0536917,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0533992,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0541314,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0570015,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0632027,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.073386,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0841281,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0841695,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0842444,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0843543,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0846559,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0850643,0.215712,False
d_136,OTGPD,12,10,34.7569,1.16217,1.97545,0.28047,0.687809,0.491619,0.999956,0.576471,0.0849572,0.215712,False
d_136,OTGPD,13,8,26.9982,0.784794,1.97808,0.280716,0.690968,0.494631,0.96466,0.578165,0.010803,0.219626,False
d_136,OTGPD,13,8,26.9982,0.784794,1.97808,0.280716,0.690968,0.494631,0.96466,0.578165,0.0127346,0.219626,False
d_136,OTGPD,13,8,26.9982,0.784794,1.97808,0.280716,0.690968,0.494631,0.96466,0.578165,0.0135891,0.219626,False
d_136,OTGPD,13,8,26.9982,0.784794,1.97808,0.280716,0.690968,0.494631,0.96466,0.578165,0.0126035,0.219626,False
d_136,OTGPD,13,8,26.9982,0.784794,1.97808,0.280716,0.690968,0.494631,0.96466,0.578165,0.0124005,0.219626,False
d_136,OTGPD,13,8,26.9982,0.784794,1.97808,0.280716,0.690968,0.494631,0.96466,0.578165,0.0135275,0.219626,False
d_136,OTGPD,14,8,26.9767,0.260312,1.96619,0.299106,0.717842,0.496669,0.889238,0.582235,0.00314513,0.223486,False
d_136,OTGPD,14,8,26.9767,0.260312,1.96619,0.299106,0.717842,0.496669,0.889238,0.582235,0.00405712,0.223486,False
d_136,OTGPD,14,8,26.9767,0.260312,1.96619,0.299106,0.717842,0.496669,0.889238,0.582235,0.00489386,0.223486,False
d_136,OTGPD,14,8,26.9767,0.260312,1.96619,0.299106,0.717842,0.496669,0.889238,0.582235,0.00574514,0.223486,False
d_136,OTGPD,14,8,26.9767,0.260312,1.96619,0.299106,0.717842,0.496669,0.889238,0.582235,0.00523479,0.223486,False
d_136,OTGPD,15,10,34.5791,0.249792,1.97525,0.295713,0.709147,0.510056,0.952953,0.587349,0.0026153,0.227292,False
d_136,OTGPD,15,10,34.5791,0.249792,1.97525,0.295713,0.709147,0.510056,0.952953,0.587349,0.0036274,0.227292,False
d_136,OTGPD,15,10,34.5791,0.249792,1.97525,0.295713,0.709147,0.510056,0.952953,0.587349,0.00524729,0.227292,False
d_136,OTGPD,15,10,34.5791,0.249792,1.97525,0.295713,0.709147,0.510056,0.952953,0.587349,0.00554908,0.227292,False
d_136,OTGPD,15,10,34.5791,0.249792,1.97525,0.295713,0.709147,0.510056,0.952953,0.587349,0.00537482,0.227292,False
d_136,OTGPD,15,10,34.5791,0.249792,1.97525,0.295713,0.709147,0.510056,0.952953,0.587349,0.0055458,0.227292,False
d_136,OTGPD,15,10,34.5791,0.249792,1.97525,0.295713,0.709147,0.510056,0.952953,0.587349,0.00646012,0.227292,False
d_136,OTGPD,15,10,34.5791,0.249792,1.97525,0.295713,0.709147,0.510056,0.952953,0.587349,0.00697906,0.227292,False
d_136,OTGPD,15,10,34.5791,0.249792,1.97525,0.295713,0.709147,0.510056,0.952953,0.587349,0.00803825,0.227292,False
d_136,OTGPD,15,10,34.5791,0.249792,1.97525,0.295713,0.709147,0.510056,0.952953,0.587349,0.00851001,0.227292,False
d_136,OTGPD,15,10,34.5791,0.249792,1.97525,0.295713,0.709147,0.510056,0.952953,0.587349,0.00995841,0.227292,False
d_136,OTGPD,15,10,34.5791,0.249792,1.97525,0.295713,0.709147,0.510056,0.952953,0.587349,0.0109495,0.227292,False
