mol_id,spin,method,success,pes_calls,iter_steps,tot_time,saddle_energy,saddle_fmax,dimer_rot,dimer_trans,init_energy,barrier,termination_status,rmsd_init_saddle
048,doublets,OTGP,false,,,,,,,,,,,
049,doublets,OTGP,false,,,,,,,,,,,
050,doublets,OTGP,false,,,,,,,,,,,
051,doublets,OTGP,false,,,,,,,,,,,
052,doublets,OTGP,false,,,,,,,,,,,
053,doublets,OTGP,false,,,,,,,,,,,
054,doublets,OTGP,true,22,14,737.865,-10371.049038,0.00485518,lbfgs,lbfgs,-10370.685157965181,-0.36388003481806663,GOOD,0.11393743846393921
055,doublets,OTGP,false,,,,,,,,,,,
056,doublets,OTGP,false,,,,,,,,,,,
057,doublets,OTGP,false,,,,,,,,,,,
058,doublets,OTGP,false,,,,,,,,,,,
059,doublets,OTGP,false,,,,,,,,,,,
060,doublets,OTGP,false,,,,,,,,,,,
061,doublets,OTGP,false,,,,,,,,,,,
062,doublets,OTGP,false,,,,,,,,,,,
063,doublets,OTGP,false,,,,,,,,,,,
064,doublets,OTGP,false,,,,,,,,,,,
065,doublets,OTGP,false,,,,,,,,,,,
066,doublets,OTGP,false,,,,,,,,,,,
067,doublets,OTGP,false,,,,,,,,,,,
068,doublets,OTGP,false,,,,,,,,,,,
069,doublets,OTGP,false,,,,,,,,,,,
070,doublets,OTGP,false,,,,,,,,,,,
071,doublets,OTGP,false,,,,,,,,,,,
072,doublets,OTGP,false,,,,,,,,,,,
073,doublets,OTGP,false,,,,,,,,,,,
074,doublets,OTGP,false,,,,,,,,,,,
075,doublets,OTGP,false,,,,,,,,,,,
076,doublets,OTGP,false,,,,,,,,,,,
077,doublets,OTGP,false,,,,,,,,,,,
078,doublets,OTGP,false,,,,,,,,,,,
079,doublets,OTGP,false,,,,,,,,,,,
080,doublets,OTGP,false,,,,,,,,,,,
081,doublets,OTGP,false,,,,,,,,,,,
082,doublets,OTGP,true,27,20,627.606,-8343.628087,0.00250403,lbfgs,lbfgs,-8341.494766395368,-2.1333206046310806,GOOD,0.14778518180949607
083,doublets,OTGP,false,,,,,,,,,,,
084,doublets,OTGP,false,,,,,,,,,,,
085,doublets,OTGP,false,,,,,,,,,,,
086,doublets,OTGP,false,,,,,,,,,,,
087,doublets,OTGP,false,,,,,,,,,,,
088,doublets,OTGP,false,,,,,,,,,,,
089,doublets,OTGP,false,,,,,,,,,,,
090,doublets,OTGP,false,,,,,,,,,,,
091,doublets,OTGP,false,,,,,,,,,,,
092,doublets,OTGP,false,,,,,,,,,,,
093,doublets,OTGP,false,,,,,,,,,,,
094,doublets,OTGP,false,,,,,,,,,,,
095,doublets,OTGP,false,,,,,,,,,,,
096,doublets,OTGP,false,,,,,,,,,,,
097,doublets,OTGP,false,,,,,,,,,,,
098,doublets,OTGP,false,,,,,,,,,,,
099,doublets,OTGP,false,,,,,,,,,,,
100,doublets,OTGP,false,,,,,,,,,,,
101,doublets,OTGP,false,,,,,,,,,,,
102,doublets,OTGP,false,,,,,,,,,,,
103,doublets,OTGP,false,,,,,,,,,,,
104,doublets,OTGP,false,,,,,,,,,,,
105,doublets,OTGP,false,,,,,,,,,,,
106,doublets,OTGP,false,,,,,,,,,,,
107,doublets,OTGP,false,,,,,,,,,,,
108,doublets,OTGP,false,,,,,,,,,,,
109,doublets,OTGP,false,,,,,,,,,,,
110,doublets,OTGP,false,,,,,,,,,,,
111,doublets,OTGP,false,,,,,,,,,,,
112,doublets,OTGP,true,25,17,886.066,-10371.590042,0.00196215,lbfgs,lbfgs,-10371.226944425982,-0.3630975740179565,GOOD,0.20546736624642484
113,doublets,OTGP,true,32,22,1797.661,-9400.130019,0.00235933,lbfgs,lbfgs,-9397.321532243754,-2.808486756246566,GOOD,0.6636211386520745
114,doublets,OTGP,false,,,,,,,,,,,
115,doublets,OTGP,false,,,,,,,,,,,
